Palabra,Score_TFIDF,Similitud_max,Precisión (%)
generative,12.810061743510941,0.843801,84.38
generative ai,6.018528950205057,0.8247776,82.48
generative artificial,9.804624166077742,0.7587197,75.87
artificial intelligence,12.601424010623692,0.7034627,70.35
ai,14.162180850812499,0.69870865,69.87
intelligence ai,6.152391845633221,0.69411296,69.41
learning,8.87264225489824,0.6312225,63.12
intelligence,13.069608239638459,0.53641665,53.64
development,6.811352412538714,0.41924855,41.92
technology,7.200099466687262,0.41065717,41.07
paper,6.089054100559441,0.40693554,40.69
research,5.757416953136261,0.40682212,40.68
education,8.473171609750473,0.4005174,40.05
artificial,12.759989652917486,0.38691598,38.69
students,6.1629142115655,0.2623824,26.24
