title,authors,year,abstract,keywords,doi,url,venue,type,source
Generative Artificial Intelligence Policies under the Microscope,"Mahjabin Nahar, Sian Lee, Rebekah Guillen, Dongwon Lee",2025,How computer science conferences are navigating the new frontier in scholarly writing.,,10.1145/3720536,https://dl.acm.org/doi/10.1145/3720536,"Communications of the ACM (CACM), Volume 68, Issue 7Pages 29–33https://doi.org/10.1145/3720536",article,ACM
Machine Learning on Graphs in the Era of Generative Artificial Intelligence,"Yu Wang, Yu Zhang, Zhichun Guo, Harry Shomer, Haoyu Han, Tyler Derr, Nesreen K. Ahmed, Mahantesh Halappanavar, Jiliang Tang",2025,"Graphs, which encode pairwise relations between entities, serve as a fundamental data structure across real-world domains. Many critical applications can be formulated as graph-based tasks, and graph machine learning (GML), from the shallow embedding ...",,10.1145/3711896.3737870,https://dl.acm.org/doi/10.1145/3711896.3737870,KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2Pages 6296–6297https://doi.org/10.1145/3711896.3737870,article,ACM
Experiencing Art Museum with a Generative Artificial Intelligence Chatbot,"Huan Wang, Andrii Matviienko",2025,"Generative Artificial Intelligence (GenAI) chatbots start changing experiences with art for museum visitors by making them more interactive and engaging. However, it remains underexplored how GenAI chatbots influence visitors’ in-field experience and ...",,10.1145/3706370.3731650,https://dl.acm.org/doi/10.1145/3706370.3731650,IMX '25: Proceedings of the 2025 ACM International Conference on Interactive Media ExperiencesPages 430–436https://doi.org/10.1145/3706370.3731650,article,ACM
Analyzing Students' Use of Generative Artificial Intelligence in Collaborative Problem Solving,"Xiuyu Chen, Shihui Feng",2025,"This study analyzed how students used generative artificial intelligence (GAI) tools in collaborative problem solving. We examined students’ GAI usage using conversational data and screen recordings from 12 groups, each comprising three university ...",,10.1145/3715070.3749257,https://dl.acm.org/doi/10.1145/3715070.3749257,CSCW Companion '25: Companion Publication of the 2025 Conference on Computer-Supported Cooperative Work and Social ComputingPages 385–389https://doi.org/10.1145/3715070.3749257,article,ACM
Network Security Issues Caused by Generative Artificial Intelligence,Baiqiang Liu,2025,"It has recently emerged that generative Artificial Intelligence (AI) has been significantly developed and can create realistic speech, images, and video. Although such innovations provide many advantages, they pose major threats to the network's security. ...",,10.1145/3726010.3726029,https://dl.acm.org/doi/10.1145/3726010.3726029,"ICADI '24: Proceedings of the 2024 International Conference on Artificial Intelligence, Digital Media Technology and Interaction DesignPages 132–136https://doi.org/10.1145/3726010.3726029",article,ACM
The relationship between generative artificial intelligence and cybersecurity,"Peter Banyasz, Tamas Szadeczky, Kincso Boroka Vaczi",2024,This research paper investigates the adoption of generative artificial intelligence by citizens using the Technology Adoption Propensity (TAP) index. The study aims to explore the influence of cybersecurity factors on the acceptance of generative ...,,10.1145/3670243.3670781,https://dl.acm.org/doi/10.1145/3670243.3670781,CEEeGov '24: Proceedings of the Central and Eastern European eDem and eGov Days 2024Pages 209–215https://doi.org/10.1145/3670243.3670781,article,ACM
ACM TechBrief: Generative Artificial Intelligence,"David Leslie, Francesca Rossi",2023,,,full/10.1145/3626110,https://dl.acm.org/doi/full/10.1145/3626110,,article,ACM
GAIB '25: Proceedings of the 2025 International Conference on Generative Artificial Intelligence for Business,"0
 
Highlights",2025,,,proceedings/10.1145/3766918,https://dl.acm.org/doi/proceedings/10.1145/3766918,,article,ACM
Application of Generative Artificial Intelligence for Epidemic Modeling,"Hannah Danielle Ladera Villaplana, Jaeyoung Kwak, Michael H. Lees, Hongying Li, Wentong Cai",2025,"Epidemic models have become increasingly useful, especially in the wake of the recent COVID-19 pandemic, emphasizing the crucial role of human behavior in the spread of disease. There has been a recent rise in the usage and popularity of generative ...",,10.5555/3712729.3712955,https://dl.acm.org/doi/10.5555/3712729.3712955,WSC '24: Proceedings of the Winter Simulation ConferencePages 2727–2738,article,ACM
Application analysis of generative artificial intelligence in basic education,"Xiaoming Qiu, Shu Zhang",2025,"This paper makes a detailed analysis of the application of Generative ARTIFICIAL intelligence in the field of basic education, and clarifies the existing problems, including the alienation of teaching process, the adaptation of teachers and students to ...",,10.1145/3723420.3723428,https://dl.acm.org/doi/10.1145/3723420.3723428,"EBIMCS '24: Proceedings of the 2024 7th International Conference on E-Business, Information Management and Computer SciencePages 41–46https://doi.org/10.1145/3723420.3723428",article,ACM
Behavioral Analysis of Classroom Interactions Supported by Generative Artificial Intelligence,"Jiacun Wen, Yi Lin, Nian Si",2025,"Generative artificial intelligence, represented by Chatgpt, has been developing rapidly because of its superiority in form and process, covering almost all industries. In order to comply with the development of technology, some classroom teaching also ...",,10.1145/3711403.3711410,https://dl.acm.org/doi/10.1145/3711403.3711410,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 49–54https://doi.org/10.1145/3711403.3711410,article,ACM
"Generative Artificial Intelligence Enabling Fragmented Learning: Status, Challenges and Optimization Strategies","Wenjing Zhang, Linying Zou",2025,"The rapid evolution of mobile Internet and artificial intelligence technology has pushed Fragmented Learning to the main learning space for college students and lifelong learners. While Fragmented Learning brings convenience, it also faces challenges such ...",,10.1145/3746469.3746486,https://dl.acm.org/doi/10.1145/3746469.3746486,EDCS '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International ConferencePages 94–99https://doi.org/10.1145/3746469.3746486,article,ACM
