title,authors,year,abstract,keywords,doi,url,venue,type,source
Frontiers and Challenges of Artificial Intelligence Algorithms in Data Science,Rencong Huang,2025,"Artificial intelligence (AI) has transformed data science by enabling advanced solutions for data processing, predictive modeling, and decision-making. This paper explores cutting-edge applications of AI algorithms, including deep learning, reinforcement learning, generative adversarial networks (GANs), and emerging techniques like large language models (LLMs) and graph neural ne...Show More",,,https://ieeexplore.ieee.org/document/11182653/,"2025 5th International Conference on Artificial Intelligence, Big Data and Algorithms (CAIBDA)",conference paper,IEEE
A Survey on Some Artificial Intelligence Learning Tools at the University of Petra,Rami A. Abdel-Rahem; Wael Hadi; Mayyas Al-Remawi; Faisal Aburub; Naser Jamal,2025,"This research explores the perspectives of 105 instructors from the University of Petra (UOP), specifically from the Faculties of Arts and Science (FAS) and Information Technology (FIT), regarding personalized learning (PL) and generative artificial intelligence (GAI) tools. The study examines instructors' views on the theoretical foundations of these technologies, their perceive...Show More",,,https://ieeexplore.ieee.org/document/11013092/,2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),conference paper,IEEE
Research on Middle School English Writing Teaching Model Assisted by Generative Artificial Intelligence,Zhiwei Qi; Yuqing Liu; Wenlin Liu,2025,"The rapid development of generative artificial intelligence technology has accelerated the reform in the field of education and opened up a new development path for English writing teaching in middle schools. However, in the actual teaching process, there are still problems with the rigid application of artificial intelligence and the lack of data support for learning...Show More",,,https://ieeexplore.ieee.org/document/11158028/,2025 5th International Conference on Artificial Intelligence and Education (ICAIE),conference paper,IEEE
Integrating Generative Artificial Intelligence in Learning Analytics: Insights and Implications From Recent Studies,Billy T. M. Wong; Kam Cheong Li; Charlotte S. Y. Chau,2025,"This paper presents a comprehensive review of studies on the application of generative artificial intelligence (AI) in learning analytics. The review encompasses 49 articles sourced from Scopus, spanning the years 2022 to 2024. The results reveal patterns of relevant publications based on regions of authors' affiliations, research methods, research objectives and issues, types of...Show More",,,https://ieeexplore.ieee.org/document/11113640/,2025 International Symposium on Educational Technology (ISET),conference paper,IEEE
Grokking Artificial Intelligence Algorithms,Rishal Hurbans,2020,"Grokking Artificial Intelligence Algorithms is a fully-illustrated and interactive tutorial guide to the different approaches and algorithms that underpin AI. Written in simple language and with lots of visual references and hands-on examples, you'll learn the concepts, terminology, and theory you need to effectively incorporate AI algorithms into your applications. And to make sure you truly grok...Show More",,,https://ieeexplore.ieee.org/document/10280429/,,book,IEEE
"Workshop: Educational Innovation Through Generative Artificial Intelligence: Tools, Opportunities, and Challenges",Miguel Morales-Chan; Hector R. Amado-Salvatierra; Rocael Hernandez-Rizzardini,2024,"The integration of Artificial Intelligence (AI) into the field of education is an unprecedented trend with the potential to revolutionize teaching approaches and significantly improve the overall learning experience. This workshop offers an opportunity for a strategic implementation of generative artificial intelligence in higher education, demonstrating its capacity ...Show More",,,https://ieeexplore.ieee.org/document/10500605/,2024 IEEE World Engineering Education Conference (EDUNINE),conference paper,IEEE
"Artificial Intelligence in Education – Emerging Trends, Thematic Analysis & Application in Lifelong Learning",Vijay Prakash Misra; Punit Kumar Mishra; Adya Sharma,2023,"There has been a significant rise in the literature published on Artificial Intelligence in Education in recent times. The scope of the literature is vast, with the emergence of some niche themes that have relevance in lifelong learning. This study aims to analyse the emerging trends and themes in Artificial Intelligence in Education and how they may be useful in lifelong l...Show More",,,https://ieeexplore.ieee.org/document/10487664/,2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),conference paper,IEEE
Generative Artificial Intelligence in Early Childhood Education: A Bibliometric Analysis,Yili Shi; Dingchen Sun; Yang Su; Jia Zeng; Qin Wang,2025,"Artificial Intelligence (AI) technologies have been applied in various domains. Generative artificial intelligence (generative AI, GAI) is an emerging artificial intelligence method that generates multiple forms of data such as text, images, and videos. For example, using GAI educational technology is a recent significant trend, which has more and mo...Show More",,,https://ieeexplore.ieee.org/document/11189812/,2025 IEEE 5th International Conference on Computer Communication and Artificial Intelligence (CCAI),conference paper,IEEE
Application of Generative Artificial Intelligence to Explore the Innovative Path of Teaching Evaluation for Primary School Teachers,Yuting Han; Mei Chen,2025,"In the era of rapid development in digital education, generative artificial intelligence is increasingly applied in the field of education. This study focuses on primary school foundational education, comprehensively reviewing relevant literature to analyze its current research and application status in primary school teaching evaluation. It clarifies its significant role and exi...Show More",,,https://ieeexplore.ieee.org/document/11158572/,2025 5th International Conference on Artificial Intelligence and Education (ICAIE),conference paper,IEEE
Research on Network Security Defense Performance with Artificial Intelligence Methods,Chunming Fu; Xiang Zhang; Rui Wang; Leiliang Sun; Changchun Su; Haoxue Min; Haokang Ran; Yanchun Liu,2025,"In response to the problems of high false detection rate, complex computation, difficulty in timely responding and defending against new unknown attacks, and high defense costs in network security defense, a defense method combining network intrusion detection and defense based on artificial intelligence technology is designed. The Wasserstein Generative Adversarial Network model...Show More",,,https://ieeexplore.ieee.org/document/11198719/,"2025 4th International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology (AIoTC)",conference paper,IEEE
